James,Renacci,OH,RepJimRenacci,R,james_renacci
Reid,Ribble,WI,RepRibble,R,reid_ribble
Edward,Rigell,VA,RepScottRigell,R,edward_rigell
Martha,Roby,AL,RepMarthaRoby,R,martha_roby
Todd,Rokita,IN,ToddRokita,R,todd_rokita
Dennis,Ross,FL,RepDennisRoss,R,dennis_ross
Marco,Rubio,FL,SenRubioPress,S,marco_rubio
Tom,Rice,SC,RepTomRice,R,tom_rice
Keith,Rothfus,PA,KeithRothfus,R,keith_rothfus
John,Ratcliffe,TX,RepRatcliffe,R,john_ratcliffe
David,Rouzer,NC,RepDavidRouzer,R,david_rouzer
Steve,Russell,OK,RepRussell,R,steve_russell
Mike,Rounds,SD,SenatorRounds,S,mike_rounds
Matt,Salmon,AZ,RepMattSalmon,R,matt_salmon
Marshall,Sanford,SC,RepSanfordSC,R,marshall_sanford
F.,Sensenbrenner,WI,JimPressOffice,R,f._sensenbrenner
Pete,Sessions,TX,PeteSessions,R,pete_sessions
Richard,Shelby,AL,SenShelby,S,richard_shelby
John,Shimkus,IL,RepShimkus,R,john_shimkus
Christopher,Smith,NJ,RepChrisSmith,R,christopher_smith
Lamar,Smith,TX,LamarSmithTX21,R,lamar_smith
Jefferson,Sessions,AL,SenatorSessions,S,jefferson_sessions
Michael,Simpson,ID,CongMikeSimpson,R,michael_simpson
Bill,Shuster,PA,RepBillShuster,R,bill_shuster
Adrian,Smith,NE,RepAdrianSmith,R,adrian_smith
Steve,Scalise,LA,SteveScalise,R,steve_scalise
David,Schweikert,AZ,RepDavid,R,david_schweikert
Tim,Scott,SC,SenatorTimScott,S,tim_scott
Steve,Stivers,OH,RepSteveStivers,R,steve_stivers
Marlin,Stutzman,IN,RepStutzman,R,marlin_stutzman
Austin,Scott,GA,AustinScottGA08,R,austin_scott
Chris,Stewart,UT,RepChrisStewart,R,chris_stewart
Jason,Smith,MO,RepJasonSmith,R,jason_smith
Elise,Stefanik,NY,RepStefanik,R,elise_stefanik
Benjamin,Sasse,NE,SenSasse,S,benjamin_sasse
Dan,Sullivan,AK,SenDanSullivan,S,dan_sullivan
Mac,Thornberry,TX,MacTXPress,R,mac_thornberry
John,Thune,SD,SenJohnThune,S,john_thune
Patrick,Toomey,PA,SenToomey,S,patrick_toomey
Patrick,Tiberi,OH,TiberiPress,R,patrick_tiberi
Michael,Turner,OH,RepMikeTurner,R,michael_turner
Glenn,Thompson,PA,CongressmanGT,R,glenn_thompson
Scott,Tipton,CO,RepTipton,R,scott_tipton
Dave,Trott,MI,repdavetrott,R,dave_trott
Thom,Tillis,NC,senthomtillis,S,thom_tillis
Fred,Upton,MI,RepFredUpton,R,fred_upton
David,Vitter,LA,,S,david_vitter
David,Valadao,CA,RepDavidValadao,R,david_valadao
Ed,Whitfield,KY,RepEdWhitfield,R,ed_whitfield
Roger,Wicker,MS,SenatorWicker,S,roger_wicker
Greg,Walden,OR,RepGregWalden,R,greg_walden
Joe,Wilson,SC,RepJoeWilson,R,joe_wilson
Lynn,Westmoreland,GA,RepWestmoreland,R,lynn_westmoreland
Tim,Walberg,MI,RepWalberg,R,tim_walberg
Robert,Wittman,VA,RobWittman,R,robert_wittman
Daniel,Webster,FL,RepWebster,R,daniel_webster
Steve,Womack,AR,Rep_SteveWomack,R,steve_womack
Rob,Woodall,GA,RepRobWoodall,R,rob_woodall
Ann,Wagner,MO,RepAnnWagner,R,ann_wagner
Jackie,Walorski,IN,RepWalorski,R,jackie_walorski
Randy,Weber,TX,TXRandy14,R,randy_weber
Brad,Wenstrup,OH,RepBradWenstrup,R,brad_wenstrup
Roger,Williams,TX,RepRWilliams,R,roger_williams
Mark,Walker,NC,RepMarkWalker,R,mark_walker
Mimi,Walters,CA,RepMimiWalters,R,mimi_walters
Bruce,Westerman,AR,RepWesterman,R,bruce_westerman
Don,Young,AK,RepDonYoung,R,don_young
Kevin,Yoder,KS,RepKevinYoder,R,kevin_yoder
Todd,Young,IN,RepToddYoung,R,todd_young
Ted,Yoho,FL,RepTedYoho,R,ted_yoho
David,Young,IA,RepDavidYoung,R,david_young
Lee,Zeldin,NY,RepLeeZeldin,R,lee_zeldin
Ryan,Zinke,MT,RepRyanZinke,R,ryan_zinke
